浦东,黄浦,徐汇,长宁,静安,普陀,虹口,杨浦,闵行,宝山,嘉定,金山,松江,青浦,奉贤,崇明
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2,0,0,1,2,1,3,1,3,0,0,,0,0,0,0
1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
1,2,4,0,,0,0,0,6,2,0,4,1,0,,0
2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
13,4,6,0,2,3,2,2,8,0,1,1,2,3,0,0
10,4,1,0,1,0,2,1,6,1,2,1,1,0,2,0
10,3,10,1,1,4,,1,9,4,7,1,4,3,0,0
21,6,6,2,3,1,3,2,10,5,26,0,0,,0,0
30,19,27,1,4,4,2,0,17,12,32,1,1,1,1,3
31,9,22,5,4,9,7,5,22,9,33,9,5,15,6,0
84,11,41,12,10,8,0,2,48,3,32,0,4,5,2,0
30,4,7,2,1,1,1,2,29,2,2,0,2,0,1,0
41,5,19,3,6,7,0,1,9,6,2,1,8,1,3,5
37,2,9,3,3,4,2,1,20,5,4,0,0,1,1,0
33,3,7,2,2,,3,4,19,17,3,0,2,0,0,2
10,16,24,11,11,4,15,4,23,4,3,2,9,0,6,0
458,11,0,2,0,2,4,0,9,1,0,0,1,0,0,0
56,16,39,9,8,16,13,9,73,24,8,0,9,2,3,1
424,7,59,4,9,21,5,9,45,20,15,3,16,8,5,0
400,16,30,16,7,27,5,6,28,19,37,2,11,6,15,0
354,53,123,2,18,13,24,11,65,90,20,3,17,2,19,2
544,83,110,14,23,32,55,8,99,19,49,3,,12,64,2
320,27,39,76,16,8,32,16,112,12,17,4,37,21,10,17
156,22,252,5,42,45,18,27,210,28,34,3,40,11,5,1
200,168,289,15,61,94,162,38,121,82,73,0,14,39,8,0
332,47,99,19,70,78,29,59,106,86,27,11,23,7,13,2
545,36,36,3,6,13,12,19,39,3,7,2,14,5,4,0
386,48,89,10,28,15,16,36,65,19,9,1,40,8,6,1
490,46,45,44,42,42,55,29,54,26,32,5,5,6,6,1
675,51,23,22,12,27,19,21,91,8,10,7,8,3,2,1
488,41,221,12,48,55,7,23,62,21,30,7,19,9,3,4
681,34,78,32,39,35,36,27,77,37,13,4,9,3,1,1
478,181,261,10,41,58,32,19,86,30,14,5,13,9,7,2
420,59,59,9,24,42,20,20,65,12,26,3,15,11,0,1
422,71,46,29,114,82,33,16,38,28,13,3,9,14,3,19
554,47,47,22,24,40,17,4,47,17,8,0,11,6,3,10
370,36,111,26,21,29,47,3,23,20,7,2,,10,4,5
529,26,41,76,28,40,4,6,41,4,14,0,11,20,4,8
426,38,47,24,23,44,37,6,19,14,13,0,4,6,1,20
230,70,54,35,15,32,22,11,24,11,12,1,8,9,5,22
228,118,37,22,25,8,36,3,16,13,9,0,2,27,0,6
146,38,95,6,39,12,16,3,9,4,10,0,2,8,2,0
130,46,40,48,13,32,32,16,33,28,8,1,7,7,0,0
37,21,50,8,17,12,6,10,45,13,12,0,2,17,0,0
31,10,51,5,17,6,6,14,29,24,6,1,4,14,0,0
62,1,21,17,7,1,17,24,26,37,10,1,4,43,8,1
73,3,16,4,20,3,11,26,33,17,7,1,0,3,0,0
49,1,10,3,3,4,14,66,7,35,20,0,5,0,,0
108,0,16,1,9,2,7,0,1,24,0,1,2,0,0,0
97,0,8,19,15,9,22,0,2,18,0,0,2,0,0,0
71,0,0,0,8,1,0,0,1,21,0,0,6,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
